Name,LEC,LAB,SEM,EXAM
ACCT*4220*01 (6594) Advanced Financial Accounting,"LEC Tues, Thur04:00PM - 05:20PMMCKN, Room 116",,,EXAM Mon02:30PM - 04:30PM (2022/12/12)Room TB
ACCT*4220*02 (6595) Advanced Financial Accounting,"LEC Tues, Thur11:30AM - 12:50PMMCKN, Room 116",,,EXAM Mon02:30PM - 04:30PM (2022/12/12)Room TB
ACCT*4230*01 (6596) Advanced Management Accounting,"LEC Tues, Thur11:30AM - 12:50PMMCLN, Room 107",,,EXAM Fri08:30AM - 10:30AM (2022/12/16)Room TB
ACCT*4270*01 (6597) Auditing II,"LEC Mon, Wed04:00PM - 05:20PMMAC, Room 149",,,EXAM Wed11:30AM - 01:30PM (2022/12/14)Room TB
ACCT*4270*02 (6598) Auditing II,"LEC Mon, Wed01:00PM - 02:20PMMAC, Room 149",,,EXAM Wed11:30AM - 01:30PM (2022/12/14)Room TB
ACCT*4350*01 (6599) Income Taxation II,"LEC Mon, Wed08:30AM - 09:50AMMACS, Room 209",,,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*1110*0101 (6600) Intro to Agri-Food Systems,"LEC Mon, Wed, Fri02:30PM - 03:20PMALEX, Room 100",,"SEM Tues08:30AM - 11:20AMCRSC, Room 121A",EXAM Fri11:30AM - 01:30PM (2022/12/09)Room TB
AGR*1110*0102 (6601) Intro to Agri-Food Systems,"LEC Mon, Wed, Fri02:30PM - 03:20PMALEX, Room 100",,"SEM Thur08:30AM - 11:20AMCRSC, Room 121A",EXAM Fri11:30AM - 01:30PM (2022/12/09)Room TB
AGR*1110*0103 (6602) Intro to Agri-Food Systems,"LEC Mon, Wed, Fri02:30PM - 03:20PMALEX, Room 100",,"SEM Wed08:30AM - 11:20AMCRSC, Room 121A",EXAM Fri11:30AM - 01:30PM (2022/12/09)Room TB
AGR*1110*0104 (6603) Intro to Agri-Food Systems,"LEC Mon, Wed, Fri02:30PM - 03:20PMALEX, Room 100",,"SEM Fri08:30AM - 11:20AMCRSC, Room 121A",EXAM Fri11:30AM - 01:30PM (2022/12/09)Room TB
AGR*1110*0105 (6604) Intro to Agri-Food Systems,"LEC Mon, Wed, Fri02:30PM - 03:20PMALEX, Room 100",,"SEM Mon08:30AM - 11:20AMCRSC, Room 121A",EXAM Fri11:30AM - 01:30PM (2022/12/09)Room TB
AGR*2150*01 (6605) Plant Ag. for Int'l Devmt,"LEC Tues, Thur02:30PM - 03:50PMMCLN, Room 101",,,EXAM Sat08:30AM - 10:30AM (2022/12/10)Room TB
AGR*2320*0101 (6606) Soils in Agroecosystems,"LEC Tues, Thur11:30AM - 12:50PMALEX, Room 200","LAB Fri08:30AM - 10:20AMALEX, Room 030",,EXAM Sat08:30AM - 10:30AM (2022/12/10)Room TB
AGR*2320*0102 (6607) Soils in Agroecosystems,"LEC Tues, Thur11:30AM - 12:50PMALEX, Room 200","LAB Tues03:30PM - 05:20PMALEX, Room 030",,EXAM Sat08:30AM - 10:30AM (2022/12/10)Room TB
AGR*2320*0103 (6608) Soils in Agroecosystems,"LEC Tues, Thur11:30AM - 12:50PMALEX, Room 200","LAB Mon03:30PM - 05:20PMALEX, Room 030",,EXAM Sat08:30AM - 10:30AM (2022/12/10)Room TB
AGR*2320*0104 (6609) Soils in Agroecosystems,"LEC Tues, Thur11:30AM - 12:50PMALEX, Room 200","LAB Thur03:30PM - 05:20PMALEX, Room 030",,EXAM Sat08:30AM - 10:30AM (2022/12/10)Room TB
AGR*2320*0105 (6610) Soils in Agroecosystems,"LEC Tues, Thur11:30AM - 12:50PMALEX, Room 200","LAB Mon08:30AM - 10:20AMALEX, Room 030",,EXAM Sat08:30AM - 10:30AM (2022/12/10)Room TB
AGR*2350*0101 (6611) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Tues02:30PM - 05:20PMANNU, Room 030",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0102 (6612) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Tues02:30PM - 05:20PMANNU, Room 030",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0103 (6613) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Wed02:30PM - 05:20PMANNU, Room 030",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0104 (6614) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Wed02:30PM - 05:20PMANNU, Room 030",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0105 (6615) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Mon02:30PM - 05:20PMANNU, Room 030",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0106 (6616) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Mon02:30PM - 05:20PMANNU, Room 030",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0107 (6617) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Thur02:30PM - 05:20PMANNU, Room 102",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2350*0108 (6618) Animal Prod Sys &amp; Industry,"LEC Tues, Thur10:00AM - 11:20AMALEX, Room 200","LAB Thur02:30PM - 05:20PMANNU, Room 102",,EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
AGR*2470*0101 (6619) Intro to Plant Agriculture,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 117","LAB Fri08:30AM - 11:20AMRoom GNHSLAB Fri08:30AM - 11:20AMMACN, Room 201",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*2470*0102 (6620) Intro to Plant Agriculture,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 117","LAB Tues02:30PM - 05:20PMRoom GNHSLAB Tues02:30PM - 05:20PMMACN, Room 201",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*2470*0103 (6621) Intro to Plant Agriculture,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 117","LAB Wed02:30PM - 05:20PMRoom GNHSLAB Wed02:30PM - 05:20PMMACN, Room 201",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*2470*0104 (6622) Intro to Plant Agriculture,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 117","LAB Thur02:30PM - 05:20PMRoom GNHSLAB Thur02:30PM - 05:20PMMCKN, Room 119A",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*2470*0105 (6623) Intro to Plant Agriculture,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 117","LAB Mon02:30PM - 05:20PMRoom GNHSLAB Mon02:30PM - 05:20PMMCKN, Room 119A",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*2470*0106 (6624) Intro to Plant Agriculture,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 117","LAB Fri02:30PM - 05:20PMCRSC, Room 101LAB Fri02:30PM - 05:20PMRoom GNHS",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
AGR*3010*01 (6625) Spec. Studies in Agr. Sci. I,LEC Days TBATimes TBARoom TB,,,
AGR*3450*0101 (6626) Research Methods,"LEC Tues, Thur04:00PM - 05:20PMANNU, Room 204","LAB Thur08:30AM - 10:20AMCRSC, Room 121B",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
AGR*4010*01 (6627) Spec. Studies in Agr. Sci. II,LEC Days TBATimes TBARoom TB,,,
AGR*4020*01 (6628) Precision Agriculture,"LEC Mon, Wed01:00PM - 02:20PMMCKN, Room 31",,,
AGR*4450*01 (6629) Research Project I,"LEC Mon11:30AM - 12:20PMANNU, Room 00",,,
AGR*4460*01 (6630) Research Project II,"LEC Mon11:30AM - 12:20PMANNU, Room 00",,,
ANSC*2340*DE01 (6631) Structure of Farm Animals,,,,EXAM Wed08:30AM - 10:30AM (2022/12/07)Room TB
ANSC*3050*01 (6632) Aquaculture: Advanced Issues,"LEC Mon, Wed, Fri01:30PM - 02:20PMANNU, Room 20",,,
ANSC*3080*0101 (6633) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Mon02:30PM - 03:50PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0102 (6634) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Mon04:00PM - 05:20PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0103 (6635) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Tues02:30PM - 03:50PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0104 (6636) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Tues04:00PM - 05:20PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0105 (6637) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Thur02:30PM - 03:50PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0106 (6638) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Thur04:00PM - 05:20PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0107 (6639) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Wed02:30PM - 03:50PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3080*0108 (6640) Agricultural Animal Physiology,"LEC Mon, Wed, Fri08:30AM - 09:20AMMACN, Room 105","LAB Wed04:00PM - 05:20PMANNU, Room 110",,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANSC*3090*01 (6641) Principles of Animal Behaviour,"LEC Tues, Thur04:00PM - 05:20PMALEX, Room 200",,,EXAM Wed07:00PM - 09:00PM (2022/12/07)Room TB
ANSC*3120*0101 (6642) Animal Nutrition,"LEC Mon, Wed, Fri09:30AM - 10:20AMMACN, Room 105","LAB Mon02:30PM - 04:20PMANNU, Room 10",,
ANSC*3120*0102 (6643) Animal Nutrition,"LEC Mon, Wed, Fri09:30AM - 10:20AMMACN, Room 105","LAB Tues09:30AM - 11:20AMANNU, Room 10",,
ANSC*3120*0103 (6644) Animal Nutrition,"LEC Mon, Wed, Fri09:30AM - 10:20AMMACN, Room 105","LAB Wed02:30PM - 04:20PMANNU, Room 10",,
ANSC*3120*0104 (6645) Animal Nutrition,"LEC Mon, Wed, Fri09:30AM - 10:20AMMACN, Room 105","LAB Thur09:30AM - 11:20AMANNU, Room 10",,
ANSC*3120*0105 (6646) Animal Nutrition,"LEC Mon, Wed, Fri09:30AM - 10:20AMMACN, Room 105","LAB Tues02:30PM - 04:20PMANNU, Room 10",,
ANSC*4010*01 (6647) Animal Welfare Judging &amp; Eval,,"LAB Wed05:30PM - 08:20PMANNU, Room 101",,EXAM Mon08:30AM - 10:30AM (2022/12/12)Room TB
ANSC*4040*0101 (6648) Digital Tech Animal Production,"LEC Mon, Wed01:30PM - 02:20PMANNU, Room 030","LAB Fri02:30PM - 05:20PMANNU, Room 03",,
ANSC*4050*0101 (6649) Biotechnology in Animal Sci,"LEC Tues, Thur11:30AM - 12:50PMMCKN, Room 115","LAB Wed08:30AM - 10:20AMANNU, Room 110",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
ANSC*4050*0102 (6650) Biotechnology in Animal Sci,"LEC Tues, Thur11:30AM - 12:50PMMCKN, Room 115","LAB Wed10:30AM - 12:20PMANNU, Room 110",,EXAM Mon11:30AM - 01:30PM (2022/12/05)Room TB
ANSC*4230*01 (6651) Challenges &amp; Opps in Dairy Cat,,"LAB Mon11:30AM - 02:20PMANNU, Room 10",,
ANSC*4270*0101 (6652) Dairy Cattle Nutrition,"LEC Mon, Fri09:30AM - 10:20AMANNU, Room 156","LAB Wed02:30PM - 05:20PMANNU, Room 156",,EXAM Wed08:30AM - 10:30AM (2022/12/07)Room TB
ANSC*4280*01 (6653) Poultry Nutrition,"LEC Tues, Thur10:00AM - 11:20AMANNU, Room 03",,,
ANSC*4290*01 (6654) Swine Nutrition,"LEC Mon, Fri11:30AM - 12:50PMANNU, Room 030",,,EXAM Tues08:30AM - 10:30AM (2022/12/13)Room TB
ANSC*4560*01 (6655) Pet Nutrition,"LEC Tues, Thur02:30PM - 03:50PMLA, Room 20",,,
ANSC*4700*01 (6656) Research in Animal Biology I,,LAB Days TBATimes TBARoom TB,,
ANSC*4710*01 (6657) Research in Animal Biology II,,LAB Days TBATimes TBARoom TB,,
ANSC*6010*01 (6658) Comparative Animal Nutrition,"LEC Mon02:30PM - 05:20PMANNU, Room 10",,,
ANSC*6030*01 (6659) Modelling Metabolic Processes,"LEC Tues02:30PM - 05:20PMROZH, Room 10",,,
ANSC*6100*01 (6660) Special Project,LEC Days TBATimes TBARoom TB,,,
ANSC*6330*0101 (6661) Topics in Comp Bio &amp; Bioinfo,"LEC Mon, Wed04:00PM - 05:20PMMCKN, Room 316","LAB Wed09:30AM - 11:20AMANNU, Room 10",,
ANSC*6330*AU01 (0506) Topics in Comp Bio &amp; Bioinfo,,,,
ANSC*6370*01 (6662) Quant Genetics &amp; Animal Models,"LEC Tues, Thur01:00PM - 02:20PMANNU, Room 03",,,
ANSC*6440*01 (6663) Advanced Applied Ethology,"LEC Fri10:30AM - 01:20PMANNU, Room 10",,,
ANSC*6460*01 (6664) Lactation Biology,"LEC Mon, Wed, Fri09:30AM - 10:20AMANNU, Room 03",,,
ANSC*6470*01 (6665) Advanced Animal Nutrition I,"LEC Tues, Thur08:30AM - 09:50AMANNU, Room 00",,,
ANSC*6610*01 (6666) Communication and Development,"LEC Mon11:30AM - 12:50PMALEX, Room 21",,,
ANSC*6700*01 (6667) Animals in Society,"LEC Tues11:30AM - 02:20PMANNU, Room 10",,,
ANSC*6900*01 (6668) Major Paper in ANSC,LEC Days TBATimes TBARoom TB,,,
ANTH*1120*01 (6669) Biological Anthropology,"LEC Thur07:00PM - 09:50PMROZH, Room 102",,,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ANTH*1150*01 (6670) Introduction to Anthropology,"LEC Mon07:00PM - 09:50PMWMEM, Room 103",,,EXAM Thur08:30AM - 10:30AM (2022/12/15)Room TB
ANTH*1150*02 (6671) Introduction to Anthropology,"LEC Tues, Thur02:30PM - 03:50PMROZH, Room 10",,,
ANTH*2230*01 (6672) Regional Ethnography,"LEC Tues, Thur02:30PM - 03:50PMRICH, Room 252",,,
ANTH*3650*01 (6673) Indig Peoples of Pre-Canada,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 23",,,
ANTH*3690*01 (6674) Engaging Anthro Theory,"LEC Tues, Thur11:30AM - 12:50PMMCKN, Room 31",,,
ANTH*3950*01 (6675) Special Projects in Anthro,LEC Days TBATimes TBARoom TB,,,
ANTH*4300*01 (6676) Anthropological Issues,"LEC Tues, Thur11:30AM - 12:50PMMACN, Room 20",,,
ANTH*4550*01 (6677) Anthropology of Health,"LEC Mon11:30AM - 02:20PMMACN, Room 20",,,
ANTH*4640*01 (6678) Seminar in Anthropology,"LEC Tues, Thur02:30PM - 03:50PMGRHM, Room 230",,,
ANTH*4880*01 (6679) Special Proj. in Anthropology,LEC Days TBATimes TBARoom TB,,,
ANTH*4890*01 (6680) Special Proj. in Anthropology,LEC Days TBATimes TBARoom TB,,,
ANTH*4900*01 (6681) Honours Anthropology Thesis I,LEC Days TBATimes TBARoom TB,,,
ANTH*4910*01 (6682) Honours Anthropology Thesis II,LEC Days TBATimes TBARoom TB,,,
ANTH*6000*01 (6683) Public Issues Anthropology,"LEC Mon11:30AM - 02:20PMMCKN, Room 26",,,
ANTH*6080*01 (6684) Anthropological Theory,"LEC Wed07:00PM - 09:50PMMCKN, Room 05",,,
ANTH*6460*01 (6685) Gender &amp; Development,"LEC Mon07:00PM - 09:50PMMCKN, Room 11",,,
ANTH*6550*01 (6686) Topics in Theory &amp; Research,LEC Days TBATimes TBARoom TB,,,
ANTH*6600*01 (6687) Reading Course,LEC Days TBATimes TBARoom TB,,,
ANTH*6660*01 (6688) Major Paper,LEC Days TBATimes TBARoom TB,,,
ANTH*6700*01 (6689) Pro-Seminar,"LEC Fri11:30AM - 02:20PMALEX, Room 02",,,
ARTH*1510*01 (6690) Art Historical Studies I,"LEC Tues, Thur10:00AM - 11:20AMMACN, Room 10",,,
ARTH*2060*01 (6691) Indigenous Arts in the Americ,"LEC Mon, Wed02:30PM - 03:50PMMCKN, Room 114",,,EXAM Sat11:30AM - 01:30PM (2022/12/10)Room TB
ARTH*2150*01 (6692) Art &amp; Archaeology of Greece,"LEC Mon, Wed, Fri10:30AM - 11:20AMMCKN, Room 114",,,EXAM Mon08:30AM - 10:30AM (2022/12/05)Room TB
ARTH*2220*01 (6693) The Visual Arts Today,"LEC Mon, Wed04:00PM - 05:20PMMCKN, Room 11",,,
ARTH*2480*01 (6694) Intro Art Theory &amp; Criticism,"LEC Mon, Wed10:00AM - 11:20AMMCKN, Room 11",,,
ARTH*2540*01 (6695) Medieval Art,"LEC Tues, Thur01:00PM - 02:20PMMCKN, Room 11",,,
ARTH*3010*01 (6696) Contemporary Canadian Art,"LEC Mon, Wed11:30AM - 12:50PMMCKN, Room 11",,,
ARTH*3340*01 (6697) Renaissance &amp; Baroque Art,"LEC Tues, Thur11:30AM - 12:50PMMCKN, Room 11",,,
ARTH*3620*01 (6698) Museum Studies,"LEC Mon, Wed01:00PM - 02:20PMMCKN, Room 11",,,
ARTH*4320*01 (6699) Art &amp; Visual Culture II,"LEC Wed02:30PM - 05:20PMALEX, Room 28",,,
ARTH*4340*01 (6700) Art &amp; Visual Culture IV,"LEC Thur02:30PM - 05:20PMALEX, Room 28",,,
ARTH*4600*01 (6701) Individual Study - Art History,,,SEM Days TBATimes TBARoom TB,
ARTH*4800*01 (6702) Experiential Learning,,,SEM Days TBATimes TBARoom TB,
ASCI*1110*0101 (6703) Society and Inquiry I,"LEC Mon04:30PM - 05:20PMMCKN, Room 230",,"SEM Tues01:30PM - 02:20PMMACS, Room 30",
ASCI*1110*0102 (6704) Society and Inquiry I,"LEC Mon04:30PM - 05:20PMMCKN, Room 230",,"SEM Fri04:30PM - 05:20PMMINS, Room 12",
ASCI*1110*0203 (6705) Society and Inquiry I,"LEC Mon10:30AM - 11:20AMMCKN, Room 231",,"SEM Thur11:30AM - 12:20PMMCKN, Room 31",
ASCI*1110*0204 (6706) Society and Inquiry I,"LEC Mon10:30AM - 11:20AMMCKN, Room 231",,"SEM Wed01:30PM - 02:20PMMCKN, Room 30",
ASCI*1110*0305 (6707) Society and Inquiry I,"LEC Mon01:30PM - 02:20PMMCKN, Room 230",,"SEM Fri10:30AM - 11:20AMROZH, Room 10",
ASCI*1110*0306 (6708) Society and Inquiry I,"LEC Mon01:30PM - 02:20PMMCKN, Room 230",,"SEM Wed02:30PM - 03:20PMROZH, Room 10",
ASCI*1110*0407 (9435) Society and Inquiry I,"LEC Tues09:30AM - 10:20AMMCKN, Room 232",,"SEM Thur03:30PM - 04:20PMROZH, Room 10",
ASCI*1110*0408 (9436) Society and Inquiry I,"LEC Tues09:30AM - 10:20AMMCKN, Room 232",,"SEM Fri10:30AM - 11:20AMMCKN, Room 30",
ASCI*2050*0101 (6709) Uses of Knowledge,"LEC Mon, Wed01:00PM - 02:20PMROZH, Room 105",,"SEM Thur10:30AM - 11:20AMMCKN, Room 305",EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
ASCI*2050*0102 (6710) Uses of Knowledge,"LEC Mon, Wed01:00PM - 02:20PMROZH, Room 105",,"SEM Fri04:30PM - 05:20PMMINS, Room 101",EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
ASCI*2050*0203 (6711) Uses of Knowledge,"LEC Mon, Wed04:00PM - 05:20PMMCKN, Room 232",,"SEM Fri03:30PM - 04:20PMROZH, Room 109",EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
ASCI*2050*0204 (6712) Uses of Knowledge,"LEC Mon, Wed04:00PM - 05:20PMMCKN, Room 232",,"SEM Thur02:30PM - 03:20PMMCKN, Room 309",EXAM Fri02:30PM - 04:30PM (2022/12/16)Room TB
ASCI*3100*01 (6713) Science Communication,"LEC Mon, Wed11:30AM - 12:50PMMCKN, Room 23",,,
ASCI*3700*01 (0486) Independent Stds in Arts/Sci,LEC Days TBATimes TBARoom TB,,,
ASCI*4020*01 (6714) Topics in Arts &amp; Sci Research,"LEC Mon, Wed02:30PM - 03:50PMMCKN, Room 31",,,
ASCI*4030*01 (6715) Topics in Arts &amp; Sci Research,"LEC Tues, Thur08:30AM - 09:50AMMCKN, Room 30",,,
ASCI*4700*01 (0487) Independent Stds in Arts/Sci,LEC Days TBATimes TBARoom TB,,,
ASCI*4710*01 (0488) Independent Stds in Arts/Sci,LEC Days TBATimes TBARoom TB,,,
AVC*6100*01 (6716) Proseminar: Critical Methods I,"LEC Tues02:30PM - 05:20PMALEX, Room 28",,,
AVC*6300*01 (6717) Topics Art Hist/Visual Culture,"LEC Wed11:30AM - 02:20PMALEX, Room 28",,,
AVC*6320*01 (6718) Topics in AVC II,"LEC Wed02:30PM - 05:20PMALEX, Room 28",,,
AVC*6340*01 (6719) Topics in AVC IV,"LEC Thur02:30PM - 05:20PMALEX, Room 28",,,
AVC*6500*01 (6720) Directed Reading,LEC Days TBATimes TBARoom TB,,,
AVC*6800*01 (6721) AHVC Major Research Paper,LEC Days TBATimes TBARoom TB,,,
BINF*6210*01 (6722) Bioinformatics Software Tools,"LEC Tues, Thur11:30AM - 12:50PMSSC, Room 130",,,
BINF*6410*01 (6723) Bioinformatics Programming,"LEC Tues, Thur10:00AM - 11:20AMSSC, Room 130",,,
BINF*6500*01 (6724) PhD Research Writing,LEC Days TBATimes TBARoom TB,,,
BINF*6890*01 (6725) Topics in Bioinformatics,"LEC Wed12:30PM - 03:20PMSSC, Room 130",,,
BINF*6999*01 (6726) Bioinformatics Masters Project,LEC Days TBATimes TBARoom TB,,,
BIOC*2580*0101 (6727) Introduction to Biochemistry,"LEC Tues, Thur08:30AM - 09:50AMWMEM, Room 103","LAB Mon02:30PM - 05:20PMSSC, Room 3110",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
BIOC*2580*0102 (6728) Introduction to Biochemistry,"LEC Tues, Thur08:30AM - 09:50AMWMEM, Room 103","LAB Mon10:30AM - 01:20PMSSC, Room 3110",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
BIOC*2580*0103 (6729) Introduction to Biochemistry,"LEC Tues, Thur08:30AM - 09:50AMWMEM, Room 103","LAB Mon02:30PM - 05:20PMSSC, Room 3111",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
BIOC*2580*0104 (6730) Introduction to Biochemistry,"LEC Tues, Thur08:30AM - 09:50AMWMEM, Room 103","LAB Mon10:30AM - 01:20PMSSC, Room 3112",,EXAM Wed02:30PM - 04:30PM (2022/12/14)Room TB
